_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	SrcIDgaia	RAgaia	e_RAgaia	DEgaia	e_DEgaia	Org	Nu	EPucac	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	f.mag	Rmag	Jmag	Hmag	Kmag
265.188261334	-53.679110663	265.1882553	-53.6790969	5921745296766472576	265.1883225	15.8	-53.6792503	16.9	2	1	1998.521	8.7	12.5	-33.5	12.8	15.943	16.672	30.000	14.740	14.404	14.413
265.188271424	-53.702228431	265.1882643	-53.7022236	5921745262406547328	265.1883433	15.4	-53.7022775	16.7	2	0	1998.526	10.3	21.3	-11.8	17.2	16.176	17.195	30.000	14.694	14.464	14.394
265.189488321	-53.688656109	265.1894639	-53.6886444	5921745292477497728	265.1897358	11.3	-53.6887750	12.2	2	1	1998.521	35.2	4.8	-28.5	4.5	16.204	14.213	30.000	14.579	14.275	14.624
265.191204951	-53.685596672	265.1912028	-53.6855894	5921745296766404992	265.1912267	15.4	-53.6856703	16.6	3	1	1998.521	3.1	10.4	-17.7	11.2	16.099	17.000				
265.191048960	-53.704652886	265.1910306	-53.7046428	5921745189398075776	265.1912344	9.8	-53.7047553	10.6	2	1	1998.518	26.4	16.8	-24.5	15.1	17.149	17.202	30.000	16.239	15.776	15.852
265.191437865	-53.695900698	265.1914310	-53.6958961	5921745258117762688	265.1915075	11.4	-53.6959475	12.3	2	4	1998.522	9.9	4.3	-11.2	4.4	15.733	16.218	30.000	14.659	14.374	14.467
265.192095833	-53.681666061	265.1920907	-53.6816592	5921745296766432128	265.1921481	15.6	-53.6817358	16.7	2	3	1998.521	7.4	3.2	-16.7	3.3	13.619	14.353	13.400	13.206	13.282	13.174
265.192295808	-53.690112247	265.1922922	-53.6901044	5921745223758026496	265.1923322	0.3	-53.6901919	0.4	2	4	1998.521	5.2	1.1	-19.1	1.1	12.176	12.576	30.000	10.545	10.055	9.900
265.192278943	-53.684903911	265.1922725	-53.6848939	5921745292477503104	265.1923444	11.6	-53.6850056	12.5	2	3	1998.523	9.3	8.4	-24.4	7.0	16.078	16.725	30.000	14.881	14.553	13.814
265.192572674	-53.696834474	265.1925319	-53.6968378	5921745189398288384	265.1929861	12.1	-53.6968006	12.9	3	4	1998.522	58.8	3.8	8.1	3.8	15.968	15.889				
265.193466776	-53.705074696	265.1934611	-53.7050656	5921745189398077440	265.1935244	10.7	-53.7051672	11.6	2	2	1998.525	8.2	8.1	-22.2	9.5	16.367	17.231	30.000	15.327	15.179	14.901
265.194779122	-53.694850072	265.1947658	-53.6948481	5921745193687092992	265.1949144	17.5	-53.6948700	30.1	2	1	1998.521	19.2	11.0	-4.8	10.4	16.624	16.963	30.000	15.372	15.121	15.291
265.195008558	-53.684204978	265.1950042	-53.6841983	5921745228046916992	265.1950531	15.4	-53.6842731	16.6	3	2	1998.525	6.3	4.4	-16.3	4.5	15.063	14.956				
265.195006064	-53.697591234	265.1949981	-53.6975800	5921745193687070848	265.1950869	15.4	-53.6977053	16.7	2	3	1998.524	11.5	4.4	-27.4	4.3	16.183	16.621	30.000	14.900	14.641	14.539
265.196100296	-53.698506877	265.1960953	-53.6984994	5921745189398293632	265.1961514	12.6	-53.6985828	13.6	2	4	1998.521	7.2	2.5	-18.2	2.8	15.267	15.866	30.000	13.951	13.492	13.426
265.196671812	-53.705735237	265.1966811	-53.7057194	5921745193687001088	265.1965775	15.5	-53.7058961	16.7	3	4	1998.523	-13.4	2.7	-38.6	2.6	16.021	16.099				
265.197244299	-53.697197339	265.1972136	-53.6971806	5921745193687059840	265.1975561	15.4	-53.6973672	16.6	2	1	1998.523	44.3	8.0	-40.8	8.6	16.671	15.525	30.000	15.493	15.224	14.670
265.198144660	-53.702263783	265.1981394	-53.7022544	5921745193687020928	265.1981983	15.4	-53.7023594	16.6	2	2	1998.525	7.6	7.2	-22.9	7.1	16.342	16.906	13.340	15.096	14.855	14.942
265.198400887	-53.689429813	265.1983961	-53.6894278	5921745228046851328	265.1984494	15.4	-53.6894500	16.6	2	1	1998.521	6.9	9.1	-4.9	10.0	16.450	16.934	30.000	15.521	15.262	14.646
265.198598037	-53.707458272	265.1985945	-53.7074508	5921745193686974592	265.1986336	15.4	-53.7075339	16.6	2	7	1998.522	5.1	1.5	-18.2	1.6	14.178	14.645	30.000	12.705	12.224	12.160
265.199066907	-53.686362969	265.1990883	-53.6863503	5921745223758035584	265.1988500	10.7	-53.6864917	11.5	2	2	1998.524	-30.9	4.7	-30.9	4.1	16.725	14.497	30.000	15.746	15.425	14.541
265.198864874	-53.692151831	265.1988569	-53.6921444	5921745228046826880	265.1989461	17.2	-53.6922272	27.2	2	7	1998.522	11.5	1.8	-18.1	2.2	14.548	14.834	30.000	12.973	12.599	12.512
265.200342292	-53.686747977	265.2003531	-53.6867369	5921745228046864512	265.2002322	15.4	-53.6868606	16.6	3	1	1998.523	-15.6	10.4	-27.0	17.3	16.077	17.224				
265.200369881	-53.684867333	265.2003669	-53.6848606	5921745228046882048	265.2004003	15.4	-53.6849356	16.6	3	4	1998.522	4.3	2.0	-16.4	2.0	14.838	15.363				
265.201219478	-53.686080163	265.2012289	-53.6860569	5921745228046867328	265.2011236	15.4	-53.6863164	18.5	3	0	1998.523	-13.6	30.4	-56.7	30.4	16.907	15.974				
265.201101036	-53.690151872	265.2010975	-53.6901444	5921745223758038144	265.2011367	11.9	-53.6902275	12.8	2	4	1998.522	5.1	3.6	-18.2	3.9	15.391	16.103	30.000	14.420	14.087	13.884
