_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
265.1669029322672	-53.6952765806967	265.16690293227	17.1750	-53.69527658070	21.1541	5921745159343188992							0	5.0331e+02	3.7230e+00	18.9338	0.0080	8.9364e+02	1.3233e+02	17.9735	0.1608	1.0184e+03	1.0526e+02	17.2421	0.1122	0.7313							
265.1726115908031	-53.7018855814065	265.17261159080	11.0772	-53.70188558141	6.1743	5921745159327421568							0	3.5854e+02	2.6745e+00	19.3020	0.0081	2.9487e+02	1.4793e+01	19.1773	0.0545	5.8579e+02	4.7269e+01	17.8426	0.0876	1.3348							
265.1875566551291	-53.7109564812646	265.18758827032	0.2766	-53.71104153396	0.2740	5921745159327269760	0.0303	0.3153	4.346	0.571	-19.754	0.551	0	6.4017e+02	2.5060e+00	18.6726	0.0043	5.2621e+02	5.0204e+01	18.5485	0.1036	8.1907e+02	1.1943e+01	17.4786	0.0158	1.0699							
265.1960468740645	-53.7113056033041	265.19607417860	0.1624	-53.71137645120	0.1713	5921745090607758336	0.5733	0.1975	3.753	0.295	-16.455	0.326	0	2.3841e+03	8.5529e+00	17.2451	0.0039	1.9087e+03	8.2123e+01	17.1495	0.0467	2.5307e+03	1.5637e+02	16.2538	0.0671	0.8957							
265.1803922789429	-53.7069721741316	265.18039227894	1.2209	-53.70697217413	1.8413	5921745159327336192							0	3.8436e+02	2.4976e+00	19.2265	0.0071																
265.1695586398142	-53.7102779062375	265.16958601322	0.8739	-53.71035949994	0.4832	5921745124982238720	0.6235	0.7916	3.763	1.088	-18.951	0.855	0	3.2671e+02	2.2602e+00	19.4030	0.0075	3.1473e+02	2.5075e+01	19.1065	0.0865	4.9932e+02	7.5865e+01	18.0160	0.1650	1.0906							
265.1656993406593	-53.7086076422470	265.16569934066	1.7006	-53.70860764225	1.4187	5921745124982238976							0	1.1176e+02	1.3891e+00	20.5677	0.0135																
265.1896841351301	-53.7082465363593	265.18968413513	10.8924	-53.70824653636	12.9968	5921745159327270784							1	6.9265e+02	3.3924e+00	18.5871	0.0053																
265.1938306060918	-53.7109236713751	265.19383060609	9.3139	-53.71092367138	2.5324	5921745090607757824							0	1.7689e+03	1.5727e+01	17.5691	0.0097																
265.1708914527005	-53.7103090369160	265.17092215488	0.3951	-53.71039509486	0.6313	5921745124982236544	-0.4296	0.6580	4.221	0.989	-19.988	1.014	0	4.9932e+02	2.3040e+00	18.9424	0.0050					6.8372e+02	8.3044e+01	17.6747	0.1319								
265.1905644056923	-53.7081067355407	265.19058846582	0.1456	-53.70818597713	0.1791	5921745090607794176	0.2827	0.1938	3.308	0.294	-18.404	0.333	0	1.8960e+03	3.5906e+00	17.4938	0.0021	1.3583e+03	6.4928e+01	17.5189	0.0519	1.6778e+03	3.0731e+01	16.7001	0.0199	0.8188							
